Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Approx. Gas Flow,Unsubtracted Delta T,Baseline Delta T,Unsubtracted Heat Flow,Baseline Heat Flow,Heat Flow Calibration,Unsubstracted Microvolt,R25 Diagnostic Signal, 
0.000000,10.718320,0.000000,25.041667,24.890000,30.000000,-0.026374,0.000000,20.000000,0.000000,1.000000,-0.034777,-1.058000, 
0.002083,10.718102,0.000000,25.041667,24.890000,30.000000,-0.026398,0.000000,19.999648,0.000000,1.000000,-0.034810,-1.059000, 
0.004167,10.717884,0.000000,25.083333,24.900000,30.000000,-0.026398,0.000000,19.999649,0.000000,1.000000,-0.034810,-1.059000, 
0.006250,10.717884,0.000000,25.125000,24.900000,30.000000,-0.026423,0.000000,19.999297,0.000000,1.000000,-0.034843,-1.060000, 
0.008333,10.717665,0.000000,25.166667,24.900000,30.000000,-0.026448,0.000000,19.998944,0.000000,1.000000,-0.034876,-1.061000, 
0.010417,10.717665,0.000000,25.208333,24.900000,30.000000,-0.026447,0.000000,19.998944,0.000000,1.000000,-0.034876,-1.061000, 
0.012500,10.717447,0.000000,25.250000,24.910000,30.000000,-0.026473,0.000000,19.998593,0.000000,1.000000,-0.034909,-1.062000, 
0.014583,10.717229,0.000000,25.291667,24.910000,30.000000,-0.026498,0.000000,19.998241,0.000000,1.000000,-0.034942,-1.063000, 
0.016667,10.717229,0.000000,25.333333,24.910000,30.000000,-0.026497,0.000000,19.998241,0.000000,1.000000,-0.034942,-1.063000, 
0.018750,10.717011,0.000000,25.375000,24.910000,30.000000,-0.026522,0.000000,19.997889,0.000000,1.000000,-0.034975,-1.064000, 
0.020833,10.717011,0.000000,25.416667,24.910000,30.000000,-0.026547,0.000000,19.997536,0.000000,1.000000,-0.035008,-1.065000, 
0.022917,10.716792,0.000000,25.458333,24.910000,30.000000,-0.026572,0.000000,19.997184,0.000000,1.000000,-0.035040,-1.066000, 
0.025000,10.716574,0.000000,25.500000,24.910000,30.000000,-0.026572,0.000000,19.997184,0.000000,1.000000,-0.035040,-1.066000, 
0.027083,10.716574,0.000000,25.541667,24.910000,30.000000,-0.026596,0.000000,19.996832,0.000000,1.000000,-0.035073,-1.067000, 
0.029167,10.716356,0.000000,25.583333,24.910000,30.000000,-0.026621,0.000000,19.996480,0.000000,1.000000,-0.035106,-1.068000, 
0.031250,10.716356,0.000000,25.625000,24.910000,30.000000,-0.026622,0.000000,19.996480,0.000000,1.000000,-0.035106,-1.068000, 
0.033333,10.716138,0.000000,25.666667,24.910000,30.000000,-0.026646,0.000000,19.996127,0.000000,1.000000,-0.035139,-1.069000, 
0.035417,10.715920,0.000000,25.708333,24.910000,30.000000,-0.026646,0.000000,19.996127,0.000000,1.000000,-0.035139,-1.069000, 
0.037500,10.715920,0.000000,25.750000,24.920000,30.000000,-0.026670,0.000000,19.995776,0.000000,1.000000,-0.035172,-1.070000, 
0.039583,10.715701,0.000000,25.791667,24.920000,30.000000,-0.026671,0.000000,19.995776,0.000000,1.000000,-0.035172,-1.070000, 
0.041667,10.715701,0.000000,25.833333,24.920000,30.000000,-0.026696,0.000000,19.995424,0.000000,1.000000,-0.035205,-1.071000, 
0.043750,10.715483,0.000000,25.875000,24.920000,30.000000,-0.026720,0.000000,19.995072,0.000000,1.000000,-0.035238,-1.072000, 
0.045833,10.715483,0.000000,25.916667,24.920000,30.000000,-0.026721,0.000000,19.995072,0.000000,1.000000,-0.035238,-1.072000, 
0.047917,10.715265,0.000000,25.958333,24.920000,30.000000,-0.026745,0.000000,19.994720,0.000000,1.000000,-0.035271,-1.073000, 
0.050000,10.715047,0.000000,26.000000,24.920000,30.000000,-0.026745,0.000000,19.994720,0.000000,1.000000,-0.035271,-1.073000, 
0.052083,10.715047,0.000000,26.041667,24.920000,30.000000,-0.026770,0.000000,19.994367,0.000000,1.000000,-0.035303,-1.074000, 
0.054167,10.714829,0.000000,26.083333,24.920000,30.000000,-0.026794,0.000000,19.994015,0.000000,1.000000,-0.035336,-1.075000, 
